Country Name,Number of cities,City with max length
Afghanistan,8,Wazir Akbar Khan
Albania,6,Ura Vajgurore
Algeria,32,Bordj Bou Arreridj
Andorra,11,Escaldes-Engordany
Angola,21,Camabatela
Antigua and Barbuda,6,Cassada Gardens
Argentina,612,San Fernando del Valle de Catamarca
Armenia,14,Erebuni Fortress
Aruba,11,Sint Nicolaas
Australia,2043,Kensington and Norwood
Austria,1400,Bruck an der Grossglocknerstrasse
Azerbaijan,8,Nakhchivan
Bahamas,7,Palmetto Point
Bahrain,17,Madinat Hamad
Bangladesh,17,Narayanganj
Barbados,23,Pine Housing Estate
Belarus,22,Radoshkovichi
Belgium,1150,Woluwe-Saint-Pierre - Sint-Pieters-Woluwe
Belize,7,Benque Viejo del Carmen
Bolivia,17,Guayaramerin
Bosnia and Herzegovina,40,Bosanska Dubica
Botswana,5,Francistown
Brazil,2044,Posto Fiscal Rolim de Moura
Brunei,8,Bandar Seri Begawan
Bulgaria,222,Dolna Oryakhovitsa
Cambodia,14,Vott Kampong Svay
Cameroon,9,Bafoussam
Canada,2145,"Stanley Bridge, Hope River, Bayview, Cavendish and North Rustico"
Cayman Islands,7,Coral Gables
Chile,121,Cerrillos de Tamaya
China,1798,Chengxian Chengguanzhen
Colombia,111,Municipio de Copacabana
Congo,5,Lubumbashi
Costa Rica,67,San Jose de la Montana
Croatia,143,Sesvetski Kraljevec
Cuba,10,Santiago de Cuba
Cyprus,25,Kato Lakatamia
Czech Republic,960,Brandys nad Labem-Stara Boleslav
Denmark,576,Bording Stationsby
Dominican Republic,23,San Fernando de Monte Cristi
Ecuador,69,General Leonidas Plaza Gutierrez
Egypt,39,Madinat as Sadis min Uktubar
El Salvador,30,Botoncillal El Botoncillo
Estonia,67,Kuressaare
Faroe Islands,8,Innan Glyvur
Finland,475,Kantomaanpaeae
France,12883,Rouffignac-Saint-Cernin-de-Reilhac
French Polynesia,7,Punaauia
Gabon,5,Port-Gentil
Georgia,9,Gogolesubani
Germany,7627,Bad Munster am Stein-Ebernburg
Ghana,16,Bolgatanga
Greece,167,Markopoulo Mesogaias
Greenland,17,Uummannaq Kommune
Guadeloupe,28,Capesterre-de-Marie-Galante
Guam,6,Tamuning-Tumon-Harmon Village
Guatemala,43,Santa Lucia Cotzumalguapa
Guinea,8,Port Kamsar
Haiti,10,Port-au-Prince
Hashemite Kingdom of Jordan,7,Ar Ramtha
Honduras,19,San Antonio de Flores
Hong Kong,82,Tin Wan Resettlement Estate
Hungary,739,Jaszfelsoszentgyorgy
Iceland,18,Vestmannaeyjar
India,1020,Khajuraho Group of Monuments
Indonesia,273,Kebayoran Lama Selatan
Iran,233,Hasanabad-e Qadamgah
Iraq,16,Sulaymaniyah
Ireland,292,Kilbride Cross Roads
Isle of Man,13,Port Saint Mary
Israel,151,Ben Shemen-Kefar Hano`ar
Italy,4487,Collefontana-Fontana Liri Inferiore
Jamaica,17,Portland Cottage
Japan,1221,Kii-nagashimaku-nagashima
Kazakhstan,43,Ust-Kamenogorsk
Kenya,23,Sawa Sawa
Kosovo,5,Mitrovica
Kuwait,16,Janub as Surrah
Latvia,48,Lapmezciems
Lebanon,18,Dik el Mehdi
Libya,5,Benghazi
Liechtenstein,14,Schellenberg
Luxembourg,116,Heisdorf-sur-Alzette
Macedonia,30,Makedonska Kamenica
